Date, X, Y, Z
A.D. 2023-May-02 00:00:00.0000 TDB, 67928.48, 27505.29, 10136.23
A.D. 2023-May-03 00:00:00.0000 TDB, 67882.46, 27605.02, 10180.09
A.D. 2023-May-04 00:00:00.0000 TDB, 67836.27, 27704.68, 10223.93
A.D. 2023-May-05 00:00:00.0000 TDB, 67789.92, 27804.26, 10267.75
A.D. 2023-May-06 00:00:00.0000 TDB, 67743.41, 27903.78, 10311.53
A.D. 2023-May-07 00:00:00.0000 TDB, 67696.74, 28003.24, 10355.3
A.D. 2023-May-08 00:00:00.0000 TDB, 67649.9, 28102.63, 10399.05
A.D. 2023-May-09 00:00:00.0000 TDB, 67602.89, 28201.96, 10442.77
A.D. 2023-May-10 00:00:00.0000 TDB, 67555.73, 28301.21, 10486.46
A.D. 2023-May-11 00:00:00.0000 TDB, 67508.38, 28400.4, 10530.12
A.D. 2023-May-12 00:00:00.0000 TDB, 67460.88, 28499.51, 10573.76
A.D. 2023-May-13 00:00:00.0000 TDB, 67413.22, 28598.55, 10617.38
A.D. 2023-May-14 00:00:00.0000 TDB, 67365.4, 28697.54, 10660.97
A.D. 2023-May-15 00:00:00.0000 TDB, 67317.4, 28796.45, 10704.53
A.D. 2023-May-16 00:00:00.0000 TDB, 67269.23, 28895.3, 10748.08
A.D. 2023-May-17 00:00:00.0000 TDB, 67220.91, 28994.06, 10791.59
A.D. 2023-May-18 00:00:00.0000 TDB, 67172.41, 29092.76, 10835.07
A.D. 2023-May-19 00:00:00.0000 TDB, 67123.75, 29191.37, 10878.52
A.D. 2023-May-20 00:00:00.0000 TDB, 67074.93, 29289.92, 10921.95
A.D. 2023-May-21 00:00:00.0000 TDB, 67025.96, 29388.4, 10965.36
A.D. 2023-May-22 00:00:00.0000 TDB, 66976.83, 29486.81, 11008.74
A.D. 2023-May-23 00:00:00.0000 TDB, 66927.52, 29585.15, 11052.09
A.D. 2023-May-24 00:00:00.0000 TDB, 66878.05, 29683.42, 11095.41
A.D. 2023-May-25 00:00:00.0000 TDB, 66828.41, 29781.62, 11138.71
A.D. 2023-May-26 00:00:00.0000 TDB, 66778.63, 29879.73, 11181.98
A.D. 2023-May-27 00:00:00.0000 TDB, 66728.67, 29977.77, 11225.22
A.D. 2023-May-28 00:00:00.0000 TDB, 66678.57, 30075.75, 11268.43
A.D. 2023-May-29 00:00:00.0000 TDB, 66628.29, 30173.66, 11311.63
A.D. 2023-May-30 00:00:00.0000 TDB, 66577.85, 30271.5, 11354.79
A.D. 2023-May-31 00:00:00.0000 TDB, 66527.24, 30369.26, 11397.93
A.D. 2023-Jun-01 00:00:00.0000 TDB, 66476.46, 30466.95, 11441.04
A.D. 2023-Jun-02 00:00:00.0000 TDB, 66425.52, 30564.56, 11484.11
A.D. 2023-Jun-03 00:00:00.0000 TDB, 66374.43, 30662.09, 11527.16
A.D. 2023-Jun-04 00:00:00.0000 TDB, 66323.19, 30759.54, 11570.18
A.D. 2023-Jun-05 00:00:00.0000 TDB, 66271.77, 30856.93, 11613.18
A.D. 2023-Jun-06 00:00:00.0000 TDB, 66220.2, 30954.24, 11656.14
A.D. 2023-Jun-07 00:00:00.0000 TDB, 66168.45, 31051.47, 11699.08
A.D. 2023-Jun-08 00:00:00.0000 TDB, 66116.55, 31148.64, 11741.99
A.D. 2023-Jun-09 00:00:00.0000 TDB, 66064.48, 31245.71, 11784.86
A.D. 2023-Jun-10 00:00:00.0000 TDB, 66012.27, 31342.71, 11827.71
A.D. 2023-Jun-11 00:00:00.0000 TDB, 65959.91, 31439.63, 11870.53
A.D. 2023-Jun-12 00:00:00.0000 TDB, 65907.37, 31536.49, 11913.33
A.D. 2023-Jun-13 00:00:00.0000 TDB, 65854.67, 31633.28, 11956.1
A.D. 2023-Jun-14 00:00:00.0000 TDB, 65801.8, 31729.98, 11998.83
A.D. 2023-Jun-15 00:00:00.0000 TDB, 65748.78, 31826.62, 12041.54
A.D. 2023-Jun-16 00:00:00.0000 TDB, 65695.59, 31923.16, 12084.22
A.D. 2023-Jun-17 00:00:00.0000 TDB, 65642.25, 32019.63, 12126.87
A.D. 2023-Jun-18 00:00:00.0000 TDB, 65588.76, 32116.01, 12169.48
A.D. 2023-Jun-19 00:00:00.0000 TDB, 65535.09, 32212.33, 12212.08
