Date, X, Y, Z
A.D. 1900-Jun-03 00:00:00.0000 TDB, -229.3046, 2238.757, 4162.05
A.D. 1900-Jun-04 00:00:00.0000 TDB, -731.8815, 2266.609, 4116.351
A.D. 1900-Jun-05 00:00:00.0000 TDB, -1227.028, 2272.686, 4031.32
A.D. 1900-Jun-06 00:00:00.0000 TDB, -1710.196, 2257.442, 3908.696
A.D. 1900-Jun-07 00:00:00.0000 TDB, -2177.247, 2221.623, 3750.68
A.D. 1900-Jun-08 00:00:00.0000 TDB, -2624.518, 2166.22, 3559.843
A.D. 1900-Jun-09 00:00:00.0000 TDB, -3048.862, 2092.423, 3339.023
A.D. 1900-Jun-10 00:00:00.0000 TDB, -3447.655, 2001.566, 3091.233
A.D. 1900-Jun-11 00:00:00.0000 TDB, -3818.795, 1895.088, 2819.573
A.D. 1900-Jun-12 00:00:00.0000 TDB, -4160.666, 1774.48, 2527.156
A.D. 1900-Jun-13 00:00:00.0000 TDB, -4472.106, 1641.258, 2217.041
A.D. 1900-Jun-14 00:00:00.0000 TDB, -4752.362, 1496.927, 1892.196
A.D. 1900-Jun-15 00:00:00.0000 TDB, -5001.032, 1342.958, 1555.453
A.D. 1900-Jun-16 00:00:00.0000 TDB, -5218.027, 1180.771, 1209.491
A.D. 1900-Jun-17 00:00:00.0000 TDB, -5403.516, 1011.724, 856.8157
A.D. 1900-Jun-18 00:00:00.0000 TDB, -5557.885, 837.0989, 499.758
A.D. 1900-Jun-19 00:00:00.0000 TDB, -5681.698, 658.1057, 140.4699
A.D. 1900-Jun-20 00:00:00.0000 TDB, -5775.661, 475.8731, -219.0705
A.D. 1900-Jun-21 00:00:00.0000 TDB, -5840.59, 291.4531, -577.053
A.D. 1900-Jun-22 00:00:00.0000 TDB, -5877.389, 105.8214, -931.826
A.D. 1900-Jun-23 00:00:00.0000 TDB, -5887.026, -80.11873, -1281.887
A.D. 1900-Jun-24 00:00:00.0000 TDB, -5870.516, -265.5331, -1625.87
A.D. 1900-Jun-25 00:00:00.0000 TDB, -5828.905, -449.6518, -1962.539
A.D. 1900-Jun-26 00:00:00.0000 TDB, -5763.26, -631.7653, -2290.772
A.D. 1900-Jun-27 00:00:00.0000 TDB, -5674.658, -811.2192, -2609.554
A.D. 1900-Jun-28 00:00:00.0000 TDB, -5564.179, -987.4108, -2917.965
A.D. 1900-Jun-29 00:00:00.0000 TDB, -5432.902, -1159.784, -3215.175
A.D. 1900-Jun-30 00:00:00.0000 TDB, -5281.898, -1327.824, -3500.43
A.D. 1900-Jul-01 00:00:00.0000 TDB, -5112.229, -1491.058, -3773.048
A.D. 1900-Jul-02 00:00:00.0000 TDB, -4924.944, -1649.047, -4032.412
A.D. 1900-Jul-03 00:00:00.0000 TDB, -4721.083, -1801.382, -4277.961
A.D. 1900-Jul-04 00:00:00.0000 TDB, -4501.668, -1947.686, -4509.188
A.D. 1900-Jul-05 00:00:00.0000 TDB, -4267.711, -2087.609, -4725.63
A.D. 1900-Jul-06 00:00:00.0000 TDB, -4020.21, -2220.821, -4926.869
A.D. 1900-Jul-07 00:00:00.0000 TDB, -3760.15, -2347.017, -5112.523
A.D. 1900-Jul-08 00:00:00.0000 TDB, -3488.506, -2465.911, -5282.246
A.D. 1900-Jul-09 00:00:00.0000 TDB, -3206.243, -2577.234, -5435.723
A.D. 1900-Jul-10 00:00:00.0000 TDB, -2914.319, -2680.734, -5572.668
A.D. 1900-Jul-11 00:00:00.0000 TDB, -2613.685, -2776.172, -5692.82
A.D. 1900-Jul-12 00:00:00.0000 TDB, -2305.287, -2863.325, -5795.945
A.D. 1900-Jul-13 00:00:00.0000 TDB, -1990.069, -2941.981, -5881.83
A.D. 1900-Jul-14 00:00:00.0000 TDB, -1668.974, -3011.941, -5950.283
A.D. 1900-Jul-15 00:00:00.0000 TDB, -1342.947, -3073.014, -6001.135
A.D. 1900-Jul-16 00:00:00.0000 TDB, -1012.939, -3125.022, -6034.235
A.D. 1900-Jul-17 00:00:00.0000 TDB, -679.9043, -3167.795, -6049.453
A.D. 1900-Jul-18 00:00:00.0000 TDB, -344.8078, -3201.174, -6046.676
A.D. 1900-Jul-19 00:00:00.0000 TDB, -8.625501, -3225.009, -6025.814
A.D. 1900-Jul-20 00:00:00.0000 TDB, 327.6529, -3239.158, -5986.796
A.D. 1900-Jul-21 00:00:00.0000 TDB, 663.0209, -3243.49, -5929.572
A.D. 1900-Jul-22 00:00:00.0000 TDB, 996.453, -3237.885, -5854.115
A.D. 1900-Jul-23 00:00:00.0000 TDB, 1326.902, -3222.232, -5760.421
A.D. 1900-Jul-24 00:00:00.0000 TDB, 1653.295, -3196.431, -5648.516
A.D. 1900-Jul-25 00:00:00.0000 TDB, 1974.532, -3160.397, -5518.45
A.D. 1900-Jul-26 00:00:00.0000 TDB, 2289.484, -3114.057, -5370.308
A.D. 1900-Jul-27 00:00:00.0000 TDB, 2596.988, -3057.354, -5204.21
A.D. 1900-Jul-28 00:00:00.0000 TDB, 2895.844, -2990.248, -5020.315
A.D. 1900-Jul-29 00:00:00.0000 TDB, 3184.816, -2912.719, -4818.828
A.D. 1900-Jul-30 00:00:00.0000 TDB, 3462.627, -2824.771, -4600.001
A.D. 1900-Jul-31 00:00:00.0000 TDB, 3727.956, -2726.432, -4364.146
A.D. 1900-Aug-01 00:00:00.0000 TDB, 3979.44, -2617.759, -4111.636
A.D. 1900-Aug-02 00:00:00.0000 TDB, 4215.671, -2498.844, -3842.916
A.D. 1900-Aug-03 00:00:00.0000 TDB, 4435.195, -2369.816, -3558.512
A.D. 1900-Aug-04 00:00:00.0000 TDB, 4636.513, -2230.851, -3259.044
A.D. 1900-Aug-05 00:00:00.0000 TDB, 4818.086, -2082.172, -2945.231
A.D. 1900-Aug-06 00:00:00.0000 TDB, 4978.336, -1924.061, -2617.909
A.D. 1900-Aug-07 00:00:00.0000 TDB, 5115.654, -1756.867, -2278.042
A.D. 1900-Aug-08 00:00:00.0000 TDB, 5228.404, -1581.011, -1926.739
A.D. 1900-Aug-09 00:00:00.0000 TDB, 5314.941, -1396.998, -1565.266
A.D. 1900-Aug-10 00:00:00.0000 TDB, 5373.624, -1205.429, -1195.066
A.D. 1900-Aug-11 00:00:00.0000 TDB, 5402.835, -1007.005, -817.7713
A.D. 1900-Aug-12 00:00:00.0000 TDB, 5401.003, -802.548, -435.2223
A.D. 1900-Aug-13 00:00:00.0000 TDB, 5366.642, -593.0012, -49.47811
A.D. 1900-Aug-14 00:00:00.0000 TDB, 5298.38, -379.4457, 337.1707
A.D. 1900-Aug-15 00:00:00.0000 TDB, 5195.01, -163.106, 722.1961
A.D. 1900-Aug-16 00:00:00.0000 TDB, 5055.538, 54.6445, 1102.832
A.D. 1900-Aug-17 00:00:00.0000 TDB, 4879.244, 272.2812, 1476.084
A.D. 1900-Aug-18 00:00:00.0000 TDB, 4665.742, 488.132, 1838.745
A.D. 1900-Aug-19 00:00:00.0000 TDB, 4415.051, 700.3876, 2187.431
A.D. 1900-Aug-20 00:00:00.0000 TDB, 4127.651, 907.1197, 2518.623
A.D. 1900-Aug-21 00:00:00.0000 TDB, 3804.555, 1106.308, 2828.737
A.D. 1900-Aug-22 00:00:00.0000 TDB, 3447.348, 1295.878, 3114.195
A.D. 1900-Aug-23 00:00:00.0000 TDB, 3058.227, 1473.747, 3371.524
A.D. 1900-Aug-24 00:00:00.0000 TDB, 2640.007, 1637.878, 3597.461
A.D. 1900-Aug-25 00:00:00.0000 TDB, 2196.106, 1786.343, 3789.058
A.D. 1900-Aug-26 00:00:00.0000 TDB, 1730.491, 1917.382, 3943.794
A.D. 1900-Aug-27 00:00:00.0000 TDB, 1247.603, 2029.469, 4059.673
A.D. 1900-Aug-28 00:00:00.0000 TDB, 752.2415, 2121.356, 4135.295
A.D. 1900-Aug-29 00:00:00.0000 TDB, 249.4347, 2192.123, 4169.918
A.D. 1900-Aug-30 00:00:00.0000 TDB, -255.7032, 2241.2, 4163.466
A.D. 1900-Aug-31 00:00:00.0000 TDB, -758.12, 2268.373, 4116.526
A.D. 1900-Sep-01 00:00:00.0000 TDB, -1252.962, 2273.781, 4030.302
A.D. 1900-Sep-02 00:00:00.0000 TDB, -1735.693, 2257.888, 3906.546
A.D. 1900-Sep-03 00:00:00.0000 TDB, -2202.189, 2221.447, 3747.473
A.D. 1900-Sep-04 00:00:00.0000 TDB, -2648.801, 2165.457, 3555.662
A.D. 1900-Sep-05 00:00:00.0000 TDB, -3072.398, 2091.111, 3333.959
A.D. 1900-Sep-06 00:00:00.0000 TDB, -3470.374, 1999.749, 3085.381
A.D. 1900-Sep-07 00:00:00.0000 TDB, -3840.64, 1892.81, 2813.029
A.D. 1900-Sep-08 00:00:00.0000 TDB, -4181.596, 1771.789, 2520.012
A.D. 1900-Sep-09 00:00:00.0000 TDB, -4492.095, 1638.199, 2209.392
A.D. 1900-Sep-10 00:00:00.0000 TDB, -4771.39, 1493.546, 1884.129
A.D. 1900-Sep-11 00:00:00.0000 TDB, -5019.094, 1339.299, 1547.053
A.D. 1900-Sep-12 00:00:00.0000 TDB, -5235.125, 1176.877, 1200.836
A.D. 1900-Sep-13 00:00:00.0000 TDB, -5419.659, 1007.634, 847.9798
A.D. 1900-Sep-14 00:00:00.0000 TDB, -5573.088, 832.8517, 490.809
A.D. 1900-Sep-15 00:00:00.0000 TDB, -5695.981, 653.7367, 131.4706
A.D. 1900-Sep-16 00:00:00.0000 TDB, -5789.046, 471.4156, -228.0628
A.D. 1900-Sep-17 00:00:00.0000 TDB, -5853.104, 286.9377, -585.9858
A.D. 1900-Sep-18 00:00:00.0000 TDB, -5889.061, 101.2768, -940.6514
A.D. 1900-Sep-19 00:00:00.0000 TDB, -5897.886, -84.66622, -1290.561
